Product Name,Price,Rating,Features
APPLE iPad (9th Gen) 64 GB ROM 10.2 inch with Wi-Fi Only (Space Grey),"₹30,900",4.6,64 GB ROM25.91 cm (10.2 inch) Display8 MP Primary Camera | 12 MP FrontiOS 15 | Battery: Lithium PolymerProcessor: A13 Bionic Chip with 64-bit Architecture1 Year Warranty
APPLE iPad (9th Gen) 64 GB ROM 10.2 inch with Wi-Fi Only (Silver),"₹30,900",4.6,64 GB ROM25.91 cm (10.2 inch) Display8 MP Primary Camera | 12 MP FrontiOS 15 | Battery: Lithium PolymerProcessor: A13 Bionic Chip with 64-bit Architecture1 Year Warranty
APPLE iPad (10th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only (Blue),"₹43,590",4.6,64 GB ROM27.69 cm (10.9 inch) Full HD Display12 MP Primary Camera | 12 MP FrontiPadOS 16 | Battery: Lithium PolymerProcessor: A14 Bionic Chip (64-bit Architecture) with Neural Engine1 Year Limited Hardware Warranty
APPLE iPad Air (5th gen) 256 GB ROM 10.9 Inch with Wi-Fi Only (Space Grey),"₹67,900",4.6,256 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerProcessor: Apple M1 Chip1 Year warranty
APPLE iPad Air (5th gen) 256 GB ROM 10.9 Inch with Wi-Fi Only (Purple),"₹67,900",4.6,256 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerProcessor: Apple M1 Chip1 Year warranty
APPLE iPad Air (5th gen) 256 GB ROM 10.9 Inch with Wi-Fi Only (Blue),"₹67,900",4.6,256 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerProcessor: Apple M1 Chip1 Year warranty
APPLE iPad (10th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only (Silver),"₹43,590",4.6,64 GB ROM27.69 cm (10.9 inch) Full HD Display12 MP Primary Camera | 12 MP FrontiPadOS 16 | Battery: Lithium PolymerProcessor: A14 Bionic Chip (64-bit Architecture) with Neural Engine1 Year Limited Hardware Warranty
APPLE iPad Air (5th gen) 64 GB ROM 10.9 Inch with Wi-Fi Only (Blue),"₹53,999",4.6,64 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerProcessor: Apple M1 Chip1 Year warranty
APPLE iPad Pro (4th Gen) 128 GB ROM 11.0 inch with Wi-Fi Only (Space Grey),"₹78,690",4.6,128 GB ROM27.94 cm (11.0 inch) Full HD Display12 MP Primary Camera | 12 MP FrontiPadOS 16 | Battery: Lithium PolymerProcessor: Apple M2 chip1 Year Limited Hardware Warranty
APPLE iPad (9th Gen) 256 GB ROM 10.2 inch with Wi-Fi Only (Silver),"₹47,900",4.6,256 GB ROM25.91 cm (10.2 inch) Display8 MP Primary Camera | 12 MP FrontiOS 15 | Battery: Lithium PolymerProcessor: A13 Bionic Chip with 64-bit Architecture1 Year Warranty
APPLE iPad Air (5th gen) 64 GB ROM 10.9 Inch with Wi-Fi Only (Star Light),"₹53,999",4.6,64 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerProcessor: Apple M1 Chip1 Year warranty
APPLE iPad Air (5th gen) 64 GB ROM 10.9 Inch with Wi-Fi Only (Space Grey),"₹53,999",4.6,64 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerProcessor: Apple M1 Chip1 Year warranty
APPLE iPad Pro (4th Gen) 128 GB ROM 11.0 inch with Wi-Fi Only (Silver),"₹78,690",4.6,128 GB ROM27.94 cm (11.0 inch) Full HD Display12 MP Primary Camera | 12 MP FrontiPadOS 16 | Battery: Lithium PolymerProcessor: Apple M2 chip1 Year Limited Hardware Warranty
APPLE iPad (10th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only (Pink),"₹43,590",4.6,64 GB ROM27.69 cm (10.9 inch) Full HD Display12 MP Primary Camera | 12 MP FrontiPadOS 16 | Battery: Lithium PolymerProcessor: A14 Bionic Chip (64-bit Architecture) with Neural Engine1 Year Limited Hardware Warranty
APPLE iPad (10th Gen) 256 GB ROM 10.9 inch with Wi-Fi Only (Blue),"₹57,900",4.6,256 GB ROM27.69 cm (10.9 inch) Full HD Display12 MP Primary Camera | 12 MP FrontiPadOS 16 | Battery: Lithium PolymerProcessor: A14 Bionic Chip (64-bit Architecture) with Neural Engine1 Year Limited Hardware Warranty
APPLE iPad (9th Gen) 256 GB ROM 10.2 inch with Wi-Fi Only (Space Grey),"₹47,900",4.6,256 GB ROM25.91 cm (10.2 inch) Display8 MP Primary Camera | 12 MP FrontiOS 15 | Battery: Lithium PolymerProcessor: A13 Bionic Chip with 64-bit Architecture1 Year Warranty
APPLE iPad Air (5th gen) 64 GB ROM 10.9 Inch with Wi-Fi Only (Pink),"₹53,999",4.6,64 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerProcessor: Apple M1 Chip1 Year warranty
APPLE iPad Air (5th gen) 256 GB ROM 10.9 Inch with Wi-Fi+5G (Blue),"₹80,900",4.6,256 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerVoice Call (Single Sim)Processor: Apple M1 chip1 Year Warranty
APPLE iPad (10th Gen) 256 GB ROM 10.9 inch with Wi-Fi+5G (Silver),"₹72,900",4.6,256 GB ROM27.69 cm (10.9 inch) Full HD Display12 MP Primary Camera | 12 MP FrontiPadOS 16 | Battery: Lithium PolymerProcessor: A14 Bionic Chip (64-bit Architecture) with Neural Engine1 Year Limited Hardware Warranty
APPLE iPad Air (5th gen) 256 GB ROM 10.9 Inch with Wi-Fi+5G (Space Grey),"₹80,900",4.6,256 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerVoice Call (Single Sim)Processor: Apple M1 chip1 Year Warranty
APPLE iPad Air (5th gen) 256 GB ROM 10.9 Inch with Wi-Fi Only (Star Light),"₹67,900",4.6,256 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerProcessor: Apple M1 Chip1 Year warranty
APPLE iPad (10th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only (Yellow),"₹43,590",4.6,64 GB ROM27.69 cm (10.9 inch) Full HD Display12 MP Primary Camera | 12 MP FrontiPadOS 16 | Battery: Lithium PolymerProcessor: A14 Bionic Chip (64-bit Architecture) with Neural Engine1 Year Limited Hardware Warranty
APPLE iPad Air (5th gen) 64 GB ROM 10.9 Inch with Wi-Fi Only (Purple),"₹53,999",4.6,64 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerProcessor: Apple M1 Chip1 Year warranty
APPLE iPad Air (5th gen) 64 GB ROM 10.9 Inch with Wi-Fi+5G (space Grey),"₹67,900",4.6,64 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerVoice Call (Single Sim)Processor: Apple M1 chip1 Year Warranty
